Agenda,Day 1. Collaborative Synthesis,"Day 2. Communication, Versioning, Project Management",Day 3. Data,Day 4. Open Science and R,Day 5. R and Wrangling
8:15-8:30,"Welcome (Matt, Amber)","Feedback, questions, and discussion","Feedback, questions, and discussion","Feedback, questions, and discussion","Feedback, questions, and discussion"
8:30-9:00,"Participant intros; brief bio, project interests, goals for course (all)",Communications: The message box,Facilitating group discussions,Message box 2: Group exchange and feedback,"Rmarkdown, Knitr, Jupyter notebooks, and reproducible research"
9:00-9:30,"Course overview, discussion of expectations (Matt, Amber)",Group work on message box,Bash shell scripts (Jones),group refines message box based on feedback,group refines message box based on feedback
9:30-10:10,Break,Break,Break,Break,Break
10:00-11:00,"Intro to servers, networks, and the *nix command line (Jones)",Activity: Version control and Git,Overview of Data Management (Jones) (incl. data sources for GRP) and Scientific data repositories (Jones),Topics in R and ROpenSci,"Wrangling heterogeneous data formats, structures in R (e.g., plyr), Messy text, character encoding"
11:00-12:00,"Thinking preferences activity (Amber, Matt)","Thinking preferences activity (Amber, Matt)","Thinking preferences activity (Amber, Matt)","Thinking preferences activity (Amber, Matt)","Thinking preferences activity (Amber, Matt)"
Noon-12:45,Lunch,Lunch,Lunch,Lunch,Lunch
12:30-1:30,"Advanced unix tools (awk, sed, iconv, etc.) (Jones)",Activity: Git and GitHub Collaboration,DataONE R client (Jones),Sociology of collaboration (Parker?),"Data summarization, visualization, QA/QC, cleaning"
1:30-2:00,Regular expressions (Jones),"Social aspects of collaboration, high-performing groups, data policies (Budden and Jones)","Social aspects of collaboration, high-performing groups, data policies (Budden and Jones)",,
2:00-2:15,Break,Break,Break,Break,Break
2:15-5:00,Pre-Assessment and Group Projects,Group Projects at NCEAS,Group Projects at NCEAS,Group Projects at NCEAS,Group Projects at NCEAS
5:00-5:15,Adjourn at NCEAS,Adjourn at NCEAS,Adjourn at NCEAS,Adjourn at NCEAS,Adjourn at NCEAS
